Timestamp,年齢,性別,対話1におけるあなた（Cさん）の発言を入力してください．,対話1においてCさんはどの程度発言しやすいと思いますか．あなたの考えに最も近い数字を選んでください．,対話1において聞き逃した発言はあなたの予想とどの程度合っていましたか．あなたの考えに最も近い数字を選んでください．,対話2におけるあなた（Cさん）の発言を入力してください．,対話2においてCさんはどの程度発言しやすいと思いますか．あなたの考えに最も近い数字を選んでください．,対話2において聞き逃した発言はあなたの予想とどの程度合っていましたか．あなたの考えに最も近い数字を選んでください．,対話3におけるあなた（Cさん）の発言を入力してください．,対話3においてCさんはどの程度発言しやすいと思いますか．あなたの考えに最も近い数字を選んでください．,対話3において聞き逃した発言はあなたの予想とどの程度合っていましたか．あなたの考えに最も近い数字を選んでください．,対話4におけるあなた（Cさん）の発言を入力してください．,対話4においてCさんはどの程度発言しやすいと思いますか．あなたの考えに最も近い数字を選んでください．,対話4において聞き逃した発言はあなたの予想とどの程度合っていましたか．あなたの考えに最も近い数字を選んでください．,対話5におけるあなた（Cさん）の発言を入力してください．,対話5においてCさんはどの程度発言しやすいと思いますか．あなたの考えに最も近い数字を選んでください．,対話5において聞き逃した発言はあなたの予想とどの程度合っていましたか．あなたの考えに最も近い数字を選んでください．,対話6におけるあなた（Cさん）の発言を入力してください．,対話6においてCさんはどの程度発言しやすいと思いますか．あなたの考えに最も近い数字を選んでください．,対話6において聞き逃した発言はあなたの予想とどの程度合っていましたか．あなたの考えに最も近い数字を選んでください．,対話7におけるあなた（Cさん）の発言を入力してください．,対話7においてCさんはどの程度発言しやすいと思いますか．あなたの考えに最も近い数字を選んでください．,対話7において聞き逃した発言はあなたの予想とどの程度合っていましたか．あなたの考えに最も近い数字を選んでください．,対話8におけるあなた（Cさん）の発言を入力してください．,対話8においてCさんはどの程度発言しやすいと思いますか．あなたの考えに最も近い数字を選んでください．,対話8において聞き逃した発言はあなたの予想とどの程度合っていましたか．あなたの考えに最も近い数字を選んでください．,対話9におけるあなた（Cさん）の発言を入力してください．,対話9においてCさんはどの程度発言しやすいと思いますか．あなたの考えに最も近い数字を選んでください．,対話9において聞き逃した発言はあなたの予想とどの程度合っていましたか．あなたの考えに最も近い数字を選んでください．,対話10におけるあなた（Cさん）の発言を入力してください．,対話10においてCさんはどの程度発言しやすいと思いますか．あなたの考えに最も近い数字を選んでください．,対話10において聞き逃した発言はあなたの予想とどの程度合っていましたか．あなたの考えに最も近い数字を選んでください．,
9/4/2023 22:04:32,37,男,伊勢海老とか松阪牛は高級なので、美味しいけどなかなか食べることが出来ないですよね。,1,1,夫婦仲を維持するのって大変ですよね。夫婦仲を維持するための秘訣ってありますか？,0,2,Bさんのオヤジギャグは、滑っていて面白くないですね。,3,4,東京みたいな人が多い場所なら、仕事を見つけるのも簡単そうですよね。,3,3,私も今は団地に住んでいます。なかなか快適ですよ。,2,3,私も仕事でストレスが溜まっているので、ぜひご一緒させてください,5,6,私は営業マンをしています。毎日歩き回って大変ですよ。,4,3,フリーランスって、大変そうですよね。,1,0,私はレストランで働いています。私も安月給なので、大変ですよ。,5,6,その彼氏の発言は酷いですね。私も関西に住んでいるので、聞き捨てならないです。,6,7,とても難しかった。
9/4/2023 22:08:01,28,女,私もなかなか地元の名物は高級すぎて食べられないですね。,2,2,私も楽しいことをたくさん見つけて、趣味を増やすことで、よりよい人生を送れると思っています。,1,8,うーん…私もAさんはO型だと思う。,2,1,私も賛成です。,1,0,私も美味しいもの巡りをしています。,0,0,ぜひ私も行きたいです！,4,8,私もそれいいなぁと思います。,1,1,私も会社員の大変さを味わっています。,2,0,まあまあうまくいっています,2,1,すごいことだと思います。,2,0,話しが重いものになればなるほど、発言しにくいと感じました(離婚や退職などの言葉が出てきているなど)　この度は貴重な機会を頂きありがとうございました。
9/4/2023 22:16:27,36,女,私にも是非教えてほしいと思います,2,1,外国語が趣味であるのは素晴らしいことですね,3,1,O型は大雑把とも考えられますよね,1,0,上京したいのは自分を磨いたり、勉強するためでもありますよね,2,1,おいしい物を食べると元気が出ますよね,3,2,今度どこかへ一緒に遊びに行かない？,4,4,それなら相談に乗って欲しいことがあるんですがいいですか？,4,1,フリーランスも大変な面がたくさんありそうで苦労しそうだね,1,1,最初のうちは安月給で苦労しますけど昇給するといいですね,2,2,私のわがままにも付き合ってくれるところが長所なんだけどね,1,0,発言を予想するのが難しく感じました
9/4/2023 22:23:45,45,男,私も今度教えてほしいです。,2,1,他の国の言葉を喋れるって素敵ですね。,1,0,私はAさん魅力的だと思うよ,1,0,都会にでなくても地元で行動すればなんとかなると思うよ。,6,8,私もすぐ太るので少食なのは羨ましいです。,1,0,私もご一緒してよろしいかしら?,3,9,とてもミステリアスなかんじがしますね。,1,0,私はBさんのことそんな風には感じなかったけど,2,1,みんな給料が安いのは一緒ですねー。,1,0,そんな彼氏とは別れなよ。もっといい人がいるはずだよ。,2,4,
9/4/2023 22:37:07,36,男,名産品はいいですね。自分も教えてほしいです。,2,1,気分転換は大事ですよね。,3,5,Bさんは緊張しているんだからしょうがないですよ。,8,2,上京すればいろいろ仕事がありそうですもんね。,0,0,住めば都と言いますもんね。,5,3,いいね！いつにしようか。,8,9,頼もしいですね。仕事も推理してみてくださいよ。,4,0,そうは見えないけどな。,6,4,見習いなら今のうちに覚えなければいけないことも多くて大変そうですね。,8,2,さらにあるなんてすごいね。,2,0,
9/4/2023 22:56:06,35,女,私もぜひ知りたいです、教えてください。,3,5,気分が軽くなったなら良かったです。,0,0,冗談言えるほどの関係性っていいね！,0,3,東京も九州も、一長一短ありますね,2,3,東京です。,0,0,素敵ですね、私もぜひご一緒したいです！,3,6,普通の会社員です。,0,4,置かれる立場によって性格も変わりますよね。,0,0,見習いでがんばってらっしゃるの、素晴らしいです,2,3,あなたにぴったりな方なんですね。,0,0,
9/4/2023 23:07:41,48,男,私も興味があるので、教えてほしいですね。,5,9,私も英語に興味があるのですが、なかなか学ぶ機会がないですね。,3,6,私も変わった人は好きですよ。,5,0,私も東京の方がにぎやかで好きですね。,6,0,住めば都といいますもんね。,6,3,私も好きなので、ぜひお誘いください。,8,7,私も何かあったときは、ぜひおまかせしたいと思います。,7,8,確かに、そういうところはありましたよね。,6,4,私も自由業なので収入は悩みの種ですね。,8,7,それはちょっと考えてしまいますね。,7,9,思ったよりも想像と違っていた内容が多く、一部が欠けるだけで会話は分かりにくくなるものだと感じました。
9/4/2023 23:09:24,41,男,私も安くておいしい名産品があったら教えてほしいです。,8,6,外国語を学べば新しい友人をつくれるかもしれませんよ,5,0,血液型占いって面白いですよね,2,0,やっぱり手に職があると何となく安心感がありますよね,6,0,やっぱり住む場所は快適な方がいいですよね,6,0,私もご一緒させて下さい,4,7,探偵なんてかっこいいですね。私も何か困りごとがあったら相談させてほしいです。,3,6,フリーランスで働いているとおおらかな性格になりそうですよね,4,0,やっぱりお金は大事ですからね,7,1,良い彼氏をお持ちですね,3,1,
9/4/2023 23:21:39,45,男,はい、私もお願いします。,1,1,私も楽しい時間を過ごすことができて、良かったです。,1,5,Aさんは、社交的だと思いますよ。,2,4,私も何らかのスキルを身につけたいですね。,2,0,Bさんは、大変そうだと思いました。,2,5,私も、一緒に行きたいです。,4,7,私は、自営業ですね。,7,7,きつい性格ではないと思いますよ。,1,2,私は、自営業ですね。,7,4,Aさんは、大変そうですね。,2,6,
9/4/2023 23:58:07,48,女,その時はぜひ私にも教えてください。,1,3,趣味があると気分転換になっていいですよね。,3,6,緊張して変なことを言っちゃうのは分からなくもないです。,0,1,都会にも地方にもそれぞれ良いところ悪いところありますよね。,5,2,私は東京に住んでいます。,6,0,発散できる機会ができてよかったですね。,6,7,私も何かあったらぜひ探偵さんにお願いしたいです。,3,6,私も人間関係に疲れたので、可能であればフリーランスで働きたかったです。,6,8,私も早く安月給から抜け出したいです。,2,2,そんなに自分を卑下することないと思いますよ。,3,1,AIの補助が一律で、聞き逃し部分を予想するのが難しかったです。